Name;All;Inc.;Avg.;Source;Co-ev.;Total;RegEx;Supp.;Resolved;Completion;Undo;Not Obs.
acceleo;5;1;120;24;15;14;14;0;0;0;0;0
atl;5;2;623;32;3;32;14;18;18;11;7;0
birt;7;1;381;17;97;1;0;1;1;0;1;0
bpmn2;4;1;3297;23;11;1;0;1;1;1;0;0
buckminster;4;1;340;3;7;10;2;8;8;0;8;0
cbi;7;3;597;188;15;7;0;7;7;6;0;1
e4;1;1;286;115;7;1;0;1;1;1;0;0
eavp;1;1;188;3;1;4;0;4;4;4;0;0
edapt;2;1;294;7;8;1;0;1;1;0;1;0
emf;13;3;237;82;25;5;1;4;4;4;0;0
gmf-tooling;7;3;295;110;23;32;0;32;32;28;2;2
ocl;12;2;711;20;11;2;1;1;1;0;1;0
papyrus;14;1;89;7;2;10;9;1;1;0;1;0
qvt-oml;4;1;561;35;24;1;0;1;0;0;0;1
qvtd;29;1;82;42;214;2;0;2;2;0;1;1
sirius;7;1;3835;62;1;4;0;4;4;4;0;0
stem;17;1;289;17;22;1;0;1;1;0;1;0
uml2;9;3;3775;100;23;510;0;510;510;451;20;39
31 Others;133;0;n.a.;n.a.;n.a.;0;0;0;n.a.;n.a.;n.a.;n.a.
Summary;148;28;889;887;509;638;41;597;596;510;43;44
