Project;Avg. Elements;Inconsistency;Context Element;[Time (ms)] Load/Calculate Revision;[Time (ms)] Recognition Time;[Time (ms)] Complement Matching;Complements (Repairs);Historically Observable Repairs (HOR);Historically Observable Undos (HOU);Ranking of Best HOR;Unbound Parameters of Best HOR
atl;623;AContainmentReferenceOfATypeWithAContainerFeaturethatRequiresInstancesToBeContainedElsewhereCannotBePopulated;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0004_2005-11-16T14-19-57Z_4626d428711731da4805b053bfbfb2b1c9d557ad/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T16Ut6tEei97MD7GK1RmA;21;9187;1054;117;true;false;0;0
atl;623;ThereMayNotBeTwoFeaturesNamed;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0001_2004-11-05T13-51-00Z_48d7b707f0b22aae2eb8b6fc8a1b044ceae33749/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T16V96tEei97MD7GK1RmA;10;3;1;4;false;true;0;1
atl;623;AContainmentReferenceOfATypeWithAContainerFeaturethatRequiresInstancesToBeContainedElsewhereCannotBePopulated;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0004_2005-11-16T14-19-57Z_4626d428711731da4805b053bfbfb2b1c9d557ad/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T16X96tEei97MD7GK1RmA;12;11974;859;110;true;false;0;0
atl;623;AContainmentReferenceOfATypeWithAContainerFeaturethatRequiresInstancesToBeContainedElsewhereCannotBePopulated;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0004_2005-11-16T14-19-57Z_4626d428711731da4805b053bfbfb2b1c9d557ad/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T16g96tEei97MD7GK1RmA;13;31673;2711;124;true;false;0;0
atl;623;AContainmentReferenceOfATypeWithAContainerFeaturethatRequiresInstancesToBeContainedElsewhereCannotBePopulated;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0004_2005-11-16T14-19-57Z_4626d428711731da4805b053bfbfb2b1c9d557ad/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T16nt6tEei97MD7GK1RmA;12;9697;892;110;true;false;0;0
atl;623;AContainmentReferenceOfATypeWithAContainerFeaturethatRequiresInstancesToBeContainedElsewhereCannotBePopulated;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0004_2005-11-16T14-19-57Z_4626d428711731da4805b053bfbfb2b1c9d557ad/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T16tt6tEei97MD7GK1RmA;12;9482;1084;116;true;false;0;0
atl;623;ThereMayNotBeTwoFeaturesNamed;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0004_2005-11-16T14-19-57Z_4626d428711731da4805b053bfbfb2b1c9d557ad/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T16t96tEei97MD7GK1RmA;12;2;0;4;false;true;0;1
atl;623;ThereMayNotBeTwoFeaturesNamed;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0004_2005-11-16T14-19-57Z_4626d428711731da4805b053bfbfb2b1c9d557ad/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T16t96tEei97MD7GK1RmA;12;3;1;4;false;true;0;1
atl;623;AContainmentReferenceOfATypeWithAContainerFeaturethatRequiresInstancesToBeContainedElsewhereCannotBePopulated;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0004_2005-11-16T14-19-57Z_4626d428711731da4805b053bfbfb2b1c9d557ad/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T160d6tEei97MD7GK1RmA;11;9300;1001;116;true;false;0;0
atl;623;AContainmentReferenceOfATypeWithAContainerFeaturethatRequiresInstancesToBeContainedElsewhereCannotBePopulated;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.mmt.atl/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/0004_2005-11-16T14-19-57Z_4626d428711731da4805b053bfbfb2b1c9d557ad/deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore#_5T161d6tEei97MD7GK1RmA;13;9945;1073;119;true;false;0;0
